type,warp_execution_efficiency,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_sync,stall_pipe_busy,shared_efficiency,achieved_occupancy,l2_utilization,shared_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,tex_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,dram_utilization,time
cublas,1,0.94,1,0.06,0.11,0.5,0.09,0.02,0.42,0.4,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,983.2
cudnn,1,0.82,0.75,0.07,0.31,0.11,0.14,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,354.22
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,265.79
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.62,981.79
cudnn,1,0.82,0.75,0.07,0.31,0.12,0.13,0.03,0.62,0.36,0.2,0.55,0.26,0.1,0.16,0.22,0.77,0,0.49,361.45
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,260.62
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,985.82
cudnn,1,0.82,0.75,0.1,0.3,0.11,0.13,0.03,0.62,0.37,0.2,0.54,0.25,0.1,0.16,0.22,0.77,0,0.49,355.53
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,264.24
cublas,1,0.94,1,0.08,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,980.73
cudnn,1,0.82,0.75,0.08,0.31,0.11,0.13,0.03,0.62,0.38,0.2,0.54,0.25,0.1,0.16,0.22,0.77,0,0.49,355.24
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,264.78
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.4,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.62,981.09
cudnn,1,0.82,0.75,0.07,0.31,0.11,0.13,0.03,0.62,0.37,0.2,0.62,0.26,0.1,0.16,0.22,0.77,0,0.49,357.23
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,263.33
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.4,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,979.84
cudnn,1,0.82,0.75,0.09,0.31,0.11,0.13,0.03,0.62,0.37,0.2,0.62,0.26,0.1,0.16,0.22,0.77,0,0.49,361.74
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,267.85
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.31,0.16,0.1,0.12,0.18,0.7,0,0.65,986.71
cudnn,1,0.82,0.75,0.11,0.3,0.11,0.13,0.03,0.62,0.37,0.2,0.55,0.26,0.1,0.16,0.22,0.77,0,0.49,357.67
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,262.01
cublas,1,0.94,1,0.07,0.11,0.47,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.62,982.62
cudnn,1,0.82,0.75,0.07,0.31,0.11,0.13,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.78,0,0.49,362.37
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,982.81
cudnn,1,0.82,0.75,0.07,0.31,0.11,0.14,0.03,0.62,0.38,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,355.05
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,262.04
cublas,1,0.94,1,0.07,0.11,0.49,0.08,0.02,0.42,0.4,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,981.98
cudnn,1,0.82,0.75,0.1,0.3,0.12,0.13,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,354.68
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,267.35
cublas,1,0.94,1,0.07,0.11,0.49,0.08,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.62,980.29
cudnn,1,0.82,0.75,0.08,0.31,0.11,0.14,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,353.86
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,264.75
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.4,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,981.7
cudnn,1,0.82,0.75,0.08,0.31,0.11,0.14,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,356.36
trt,1,0.59,0.57,0.09,0.22,0.15,0.17,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,262.05
cublas,1,0.94,1,0.06,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.62,985.6
cudnn,1,0.82,0.75,0.07,0.31,0.12,0.14,0.03,0.62,0.37,0.2,0.54,0.25,0.1,0.16,0.22,0.77,0,0.49,354.67
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.4,0.29,0.3,0.16,0.1,0.12,0.18,0.73,0,0.62,983.78
cudnn,1,0.82,0.75,0.07,0.31,0.12,0.13,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,355.02
